Tag,seq_rep,sample_title,trial,diet,age,total_mass
T1_ctl_00_rep99_2,NA,e_99_2,T1,ctl,0,47
T1_ctl_08_rep99_2,NA,e_99_2,T1,ctl,8,276
T1_ctl_10_rep99_2,NA,e_99_2,T1,ctl,10,378
T1_ctl_15_rep99_2,ctl_15_7,e_99_2,T1,ctl,15,661
T1_ctl_00_rep100,NA,e_100,T1,ctl,0,41
T1_ctl_08_rep100,ctl_8_6,e_100,T1,ctl,8,187
T1_ctl_00_rep101,NA,e_101,T1,ctl,0,48
T1_ctl_08_rep101,NA,e_101,T1,ctl,8,260
T1_ctl_10_rep101,NA,e_101,T1,ctl,10,353
T1_ctl_15_rep101,ctl_15_4,e_101,T1,ctl,15,619
T1_ctl_00_rep102,NA,e_102,T1,ctl,0,45
T1_ctl_08_rep102,NA,e_102,T1,ctl,8,270
T1_ctl_10_rep102,NA,e_102,T1,ctl,10,363
T1_ctl_15_rep102,NA,e_102,T1,ctl,15,600
T1_ctl_22_rep102,NA,e_102,T1,ctl,22,1057
T1_ctl_24_rep102,NA,e_102,T1,ctl,24,1193
T1_ctl_28_rep102,NA,e_102,T1,ctl,28,1422
T1_ctl_31_rep102,NA,e_102,T1,ctl,31,1869
T1_ctl_34_rep102,NA,e_102,T1,ctl,34,2243
T1_ctl_35_rep102,ctl_35_7,e_102,T1,ctl,35,2347
T1_ctl_00_rep103,NA,e_103,T1,ctl,0,47
T1_ctl_08_rep103,NA,e_103,T1,ctl,8,256
T1_ctl_10_rep103,NA,e_103,T1,ctl,10,339
T1_ctl_15_rep103,NA,e_103,T1,ctl,15,538
T1_ctl_22_rep103,ctl_22_6,e_103,T1,ctl,22,985
T1_ctl_00_rep104,NA,e_104,T1,ctl,0,44
T1_ctl_08_rep104,NA,e_104,T1,ctl,8,259
T1_ctl_10_rep104,NA,e_104,T1,ctl,10,358
T1_ctl_15_rep104,NA,e_104,T1,ctl,15,590
T1_ctl_22_rep104,NA,e_104,T1,ctl,22,1067
T1_ctl_24_rep104,NA,e_104,T1,ctl,24,1218
T1_ctl_28_rep104,NA,e_104,T1,ctl,28,1496
T1_ctl_31_rep104,NA,e_104,T1,ctl,31,1958
T1_ctl_34_rep104,NA,e_104,T1,ctl,34,2288
T1_ctl_35_rep104,NA,e_104,T1,ctl,35,2399
T1_ctl_00_rep105,NA,e_105,T1,ctl,0,43
T1_ctl_08_rep105,ctl_8_1,e_105,T1,ctl,8,255
T1_ctl_00_rep106,NA,e_106,T1,ctl,0,42
T1_ctl_08_rep106,NA,e_106,T1,ctl,8,228
T1_ctl_10_rep106,NA,e_106,T1,ctl,10,310
T1_ctl_15_rep106,ctl_15_1,e_106,T1,ctl,15,536
T1_ctl_00_rep107,NA,e_107,T1,ctl,0,47
T1_ctl_08_rep107,NA,e_107,T1,ctl,8,274
T1_ctl_10_rep107,NA,e_107,T1,ctl,10,375
T1_ctl_15_rep107,NA,e_107,T1,ctl,15,692
T1_ctl_22_rep107,ctl_22_4,e_107,T1,ctl,22,1362
T1_ctl_00_rep108,NA,e_108,T1,ctl,0,47
T1_ctl_08_rep108,ctl_8_5,e_108,T1,ctl,8,264
T1_ctl_00_rep109,NA,e_109,T1,ctl,0,47
T1_ctl_08_rep109,NA,e_109,T1,ctl,8,254
T1_ctl_10_rep109,NA,e_109,T1,ctl,10,356
T1_ctl_15_rep109,NA,e_109,T1,ctl,15,610
T1_ctl_22_rep109,NA,e_109,T1,ctl,22,1053
T1_ctl_24_rep109,NA,e_109,T1,ctl,24,1198
T1_ctl_28_rep109,NA,e_109,T1,ctl,28,1402
T1_ctl_31_rep109,NA,e_109,T1,ctl,31,1836
T1_ctl_34_rep109,NA,e_109,T1,ctl,34,2138
T1_ctl_35_rep109,ctl_35_1,e_109,T1,ctl,35,2242
T1_ctl_00_rep110,NA,e_110,T1,ctl,0,41
T1_ctl_08_rep110,NA,e_110,T1,ctl,8,205
T1_ctl_10_rep110,NA,e_110,T1,ctl,10,284
T1_ctl_15_rep110,NA,e_110,T1,ctl,15,438
T1_ctl_22_rep110,ctl_22_5,e_110,T1,ctl,22,697
T1_ctl_00_rep111,NA,e_111,T1,ctl,0,41
T1_ctl_08_rep111,NA,e_111,T1,ctl,8,230
T1_ctl_10_rep111,NA,e_111,T1,ctl,10,300
T1_ctl_15_rep111,ctl_15_5,e_111,T1,ctl,15,516
T1_ctl_00_rep112,NA,e_112,T1,ctl,0,46
T1_ctl_08_rep112,NA,e_112,T1,ctl,8,259
T1_ctl_10_rep112,NA,e_112,T1,ctl,10,362
T1_ctl_15_rep112,NA,e_112,T1,ctl,15,609
T1_ctl_22_rep112,NA,e_112,T1,ctl,22,1041
T1_ctl_24_rep112,NA,e_112,T1,ctl,24,1159
T1_ctl_28_rep112,NA,e_112,T1,ctl,28,1439
T1_ctl_31_rep112,NA,e_112,T1,ctl,31,1768
T1_ctl_34_rep112,NA,e_112,T1,ctl,34,2031
T1_ctl_35_rep112,ctl_35_2,e_112,T1,ctl,35,2138
T1_ctl_00_rep113,NA,e_113,T1,ctl,0,41
T1_ctl_08_rep113,NA,e_113,T1,ctl,8,244
T1_ctl_10_rep113,NA,e_113,T1,ctl,10,337
T1_ctl_15_rep113,NA,e_113,T1,ctl,15,573
T1_ctl_22_rep113,NA,e_113,T1,ctl,22,958
